block,loc,bed,row,col,pop,mf,rep,unique.ID
G,D_47_A,D,47,A,NA,NA,NA,NA
G,D_47_B,D,47,B,WL2,NA,62,157
G,D_48_A,D,48,A,TM2,NA,15,485
G,D_48_B,D,48,B,WV x WL2,NA,1,1403
G,D_49_A,D,49,A,LV1,NA,7,7
G,D_49_B,D,49,B,(YO11 x WL2) x (DPR x WL2),NA,6,778
G,D_50_A,D,50,A,(WV x WL2) x (WV),NA,3,270
G,D_50_B,D,50,B,TM2,NA,20,490
G,D_51_A,D,51,A,(LV1 x WL2) x (WL2),NA,14,77
G,D_51_B,D,51,B,BH x WL2,NA,22,632
G,D_52_A,D,52,A,WL1,NA,16,299
G,D_52_B,D,52,B,(WL1 x TM2) x (WL2 x TM2),NA,6,326
G,D_53_A,D,53,A,TM2,NA,52,522
G,D_53_B,D,53,B,NA,NA,NA,NA
G,D_54_A,D,54,A,(WL1 x WL2) x (WL2 x CC),NA,4,1117
G,D_54_B,D,54,B,(WV) x (WV x WL2),NA,1,1387
G,D_55_A,D,55,A,(WL2 x TM2) x (CC x TM2),NA,3,254
G,D_55_B,D,55,B,WL2,NA,86,181
G,D_56_A,D,56,A,TM2,NA,88,558
G,D_56_B,D,56,B,NA,NA,NA,NA
G,D_57_A,D,57,A,LV1 x TM2,NA,18,1242
G,D_57_B,D,57,B,(TM2 x BH) x (TM2 x BH),NA,10,1344
G,D_58_A,D,58,A,NA,NA,NA,buffer
G,D_58_B,D,58,B,(WV x WL2) x (WL2 x DPR),NA,3,1327
G,D_59_A,D,59,A,WL2,NA,19,114
G,D_59_B,D,59,B,NA,NA,NA,buffer
D,D_1_C,D,1,C,NA,NA,NA,buffer
D,D_1_D,D,1,D,NA,NA,NA,buffer
D,D_2_C,D,2,C,NA,NA,NA,buffer
D,D_2_D,D,2,D,NA,NA,NA,buffer
D,D_3_C,D,3,C,NA,NA,NA,buffer
D,D_3_D,D,3,D,NA,NA,NA,buffer
D,D_4_C,D,4,C,TM2,NA,18,488
D,D_4_D,D,4,D,TM2,NA,34,504
D,D_5_C,D,5,C,(WL2) x (WV x WL2),NA,14,772
D,D_5_D,D,5,D,WL2,NA,70,165
D,D_7_C,D,7,C,WV x TM2,NA,20,213
D,D_8_D,D,8,D,(TM2 x WL2) x (TM2),NA,3,345
D,D_9_C,D,9,C,(WV) x (WV x WL2),NA,14,1400
D,D_9_D,D,9,D,WL2,NA,40,135
D,D_10_C,D,10,C,(LV1 x WL2) x (YO11 x WL2),NA,1,986
D,D_10_D,D,10,D,TM2,NA,82,552
D,D_11_C,D,11,C,TM2,NA,12,482
D,D_11_D,D,11,D,(TM2 x WL2) x (WL2),NA,3,359
D,D_12_C,D,12,C,WL2,NA,49,144
D,D_12_D,D,12,D,NA,NA,NA,NA
D,D_13_C,D,13,C,(TM2 x BH) x (BH),NA,13,755
E,D_13_D,D,13,D,(WL1 x WL2) x (WL2 x TM2),NA,14,1159
E,D_14_C,D,14,C,(YO11 x WL2) x (WL2),NA,8,934
E,D_14_D,D,14,D,WL2,NA,85,180
E,D_15_C,D,15,C,(WL1 x TM2) x (WL2 x TM2),NA,4,324
E,D_15_D,D,15,D,WL2,NA,7,102
E,D_16_C,D,16,C,(SQ3 x WL2) x (YO11 x WL2),NA,11,1510
E,D_16_D,D,16,D,BH,NA,10,396
E,D_17_C,D,17,C,(WL2 x BH) x (SQ3 x WL2),NA,15,1176
E,D_17_D,D,17,D,(TM2 x WL2) x (TM2 x WL2),NA,3,1084
E,D_18_C,D,18,C,TM2 x WL2,NA,5,1281
E,D_18_D,D,18,D,TM2,NA,78,548
E,D_19_C,D,19,C,(WL2 x DPR) x (YO11 x WL2),NA,10,578
E,D_19_D,D,19,D,(YO11 x WL2) x (SQ3 x WL2),NA,4,1005
E,D_20_C,D,20,C,TM2,NA,39,509
E,D_20_D,D,20,D,TM2,NA,55,525
E,D_21_C,D,21,C,YO11,NA,11,53
E,D_21_D,D,21,D,(WL2 x TM2) x (CC x TM2),NA,1,252
E,D_22_C,D,22,C,(TM2 x BH) x (TM2 x BH),NA,11,1345
E,D_22_D,D,22,D,(SQ3 x WL2) x (DPR x WL2),NA,13,815
E,D_23_C,D,23,C,(WL1 x WL2) x (BH x WL2),NA,7,338
E,D_23_D,D,23,D,(DPR x WL2) x (YO11 x WL2),NA,10,704
E,D_24_C,D,24,C,(TM2 x WL2) x (TM2),NA,6,348
E,D_24_D,D,24,D,WL1,NA,18,301
NA,D_25_C,D,25,C,CC,2,9,CC_2_9
E,D_25_D,D,25,D,(SQ3 x WL2) x (TM2 x WL2),NA,4,882
