bed,row,col,pop.id,mf,dame_mf,sire_mf,rep,Unique.ID
E,11,A,(LV1 x WL2) x (WL2),6_16-A,6,16-A,2,2088
E,11,B,(WL2 x BH) x (WL2 x CC),1_2,1,2,6,2518
E,12,A,(DPR x TM2) x (TM2 x WL2),3_2,3,2,2,2079
E,12,B,NA,,,,,NA
E,13,A,TM2 x WL2,,,,9,2486
E,13,B,NA,,,,,NA
E,14,A,(WL2 x BH) x (WL2 x CC),2_3,2,3,20,2211
E,14,B,WL2 x LV1,2-A_14-A,2-A,14-A,7,2025
E,15,A,WL2 x DPR,,,,5,2018
E,15,B,WL2,8,8,,73,1896
E,16,A,WL2,4,4,,34,1857
E,16,B,(WL2 x TM2) x (TM2),2_1-3,2,1-3,6,2244
E,17,A,WL1,8,8,,5,1807
E,17,B,WL2,2,2,,17,1840
E,18,A,TM2 x WL2,,,,9,2000
E,18,B,(TM2 x WL2) x (WL2),,,,16,372
E,19,A,BH,3,3,,6,1605
E,19,B,DPR x WL2,,,,2,1975
E,20,A,SQ3,5,5,,1,1684
E,20,B,(WV x WL2) x (WL2 x CC),3_1,3,1,15,2367
E,21,A,(SQ3 x WL2) x (WL2),12_16-A,12,16-A,13,2104
E,21,B,(CC x WL2) x (WL2),4_13-B,4,13-B,7,2437
E,22,A,WL2 x DPR,,,,1,2014
E,22,B,buffer,,,,,buffer
E,23,A,buffer,,,,,buffer
E,23,B,(WL2 x BH) x (WL2 x CC),1_2,1,2,13,2524
E,24,A,(YO11 x WL2) x (WL2),4_13-B,4,13-B,12,2584
E,24,B,SQ3,7,7,,21,2400
E,25,A,(WV x TM2) x (TM2 x WL2),2_1,2,1,1,2332
E,25,B,WL1,8,8,,6,1808
E,26,A,TM2,1,1,,9,1713
E,26,B,NA,,,,,NA
E,27,A,(SQ3 x WL2) x (WL2),,,,16,95
E,27,B,WL2,2,2,,18,1841
E,28,A,TM2 x WL2,,,,8,1999
E,28,B,(WL2 x TM2) x (CC x TM2),2-3_2-3,2-3,2-3,8,2453
E,29,A,(SQ3 x WL2) x (WL2),12_16-A,12,16-A,15,2106
E,29,B,(WV) x (WV x WL2),3_22,3,22,1,2375
E,30,A,NA,,,,,NA
E,30,B,NA,,,,,NA
E,41,A,BH,3,3,,2,1601
E,41,B,(WL2 x BH) x (WL2 x CC),1_2,1,2,3,2194
E,42,A,WV,11,11,,18,2627
E,42,B,WL2 x YO11,2-A_11-2,2-A,11-2,3,2434
E,43,A,(TM2 x WL2) x (WL2),,,,13,369
E,43,B,SQ3,5,5,,3,1686
E,44,A,NA,,,,,NA
E,44,B,(WL2 x TM2) x (TM2),2_1-3,2,1-3,35,2273
E,45,A,(WL2 x BH) x (WL2 x CC),,,,17,2208
E,45,B,WL2,8,8,,79,1902
E,46,A,(WL2 x WV) x (CC x WL2),1_1,1,1,9,2304
E,46,B,TM2 x WL2,,,,15,2613
E,47,A,NA,,,,,NA
E,47,B,(DPR x TM2) x (TM2 x WL2),3_2,3,2,2,2586
E,48,A,(TM2 x WL2) x (WL1 x TM2),2_1,2,1,1,2164
E,48,B,DPR x WL2,,,,1,1974
E,49,A,buffer,,,,,buffer
E,49,B,(TM2) x (TM2 x WL2),2-1_2,2-1,2,2,2503
E,50,A,(WL2) x (WL2 x BH),3-14_1,3-14,1,3,2458
E,50,B,(WL2 x CC) x (WL2 x TM2),,,,16,1193
E,51,A,(WL1 x WL2) x (BH x WL2),,,,3,334
E,51,B,TM2,,,,96,1800
E,52,A,buffer,,,,,buffer
E,52,B,buffer,,,,,buffer
E,1,C,buffer,,,,,buffer
E,1,D,buffer,,,,,buffer
E,2,C,buffer,,,,,buffer
E,2,D,buffer,,,,,buffer
E,3,C,buffer,,,,,buffer
E,3,D,buffer,,,,,buffer
E,4,C,TM2,,,,85,1789
E,4,D,BH x WL2,1-3_8-1,1-3,8-1,7,2415
E,5,C,NA,,,,,NA
E,5,D,WL2 x YO11,2-A_11-2,2-A,11-2,1,2432
E,6,C,DPR,20,20,,15,1656
E,6,D,NA,,,,,NA
E,7,C,(WV) x (WV x WL2),3_22,3,22,3,2582
E,7,D,WV x WL2,,,,4,1406
E,8,C,(WL2 x BH) x (WL2 x TM2),2_3,2,3,9,2541
E,8,D,(WV x WL2) x (WL2 x CC),3_1,3,1,14,2366
E,9,C,(WV x TM2) x (TM2 x WL2),2_1,2,1,6,2636
E,9,D,(WV x WL2) x (WL2 x BH),2_2,2,2,5,2347
E,10,C,TM2,1,1,,7,1711
E,10,D,TM2,2,2,,11,2630
E,11,C,(WL2 x TM2) x (TM2),2_1-3,2,1-3,30,2268
E,11,D,(WL2 x WV) x (CC x WL2),1_1,1,1,6,2552
