pop.id,mf,rep,block,bed,rack,col,row,unique.ID,notes
(TM2 x BH) x (TM2 x WL2),,1,C1,C,1,B,12,1232,
WL2 x BH,,6,C1,C,1,C,12,785,
WV x (WV x WL2),,14,C1,C,1,D,12,1099,
YO11,8,1,C1,C,1,A,13,319,
LV1,3,2,C1,C,1,B,13,288,
(WL2 x DPR) x DPR,,6,C1,C,1,C,13,1051,
WV,5,8,C1,C,1,D,13,274,
TM2 x WL2,,28,C1,C,1,A,14,736,
TM2 x DPR,,14,C1,C,1,B,14,662,
WV x TM2,,18,C1,C,1,C,14,1003,
TM2 x WV,,13,C1,C,1,D,14,751,
LV1 x WL2,,25,C1,C,2,A,15,539,
(TM2 x BH) x TM2,,9,C1,C,2,B,15,1220,
CC x TM2,,30,C1,C,2,C,15,424,
(YO11 x WL2) x WL2,,20,C1,C,2,D,15,1330,
LV1 x WL2,,6,C1,C,2,A,16,520,
TM2 x DPR,,26,C1,C,2,B,16,674,
TM2-2,2,10,C1,C,2,C,16,24,
WL2-9,9,7,C1,C,2,D,16,147,
WV x WL2,,12,C1,C,2,A,17,1027,
TM2 x CC,,9,C1,C,2,B,17,627,
WL2-3,3,11,C1,C,2,C,17,123,
(TM2 x BH) x (TM2 x WL2),,13,C1,C,2,D,17,1244,
TM2 x YO11,,17,C1,C,2,A,18,771,
WL1 x WL2,,11,C1,C,2,B,18,841,
BH x WL2,,20,C1,C,2,C,18,384,
WL2-8,8,9,C1,C,2,D,18,135,
WV x WL2,,4,C1,C,2,A,19,2018,
DPR x WL2,,22,C1,C,2,B,19,476,
WL2-10,10,5,C1,C,2,C,19,159,
WL2 x WL1,,19,C1,C,2,D,19,928,
DPR x (WL2 x DPR),,4,C1,C,2,A,20,1133,
(TM2 x BH) x BH,,2,C1,C,2,B,20,1372,
TM2 x (TM2 x BH),,17,C1,C,2,C,20,1208,
SQ3 x TM2,,24,C1,C,2,D,20,568,
DPR x TM2,,24,C1,C,2,A,21,448,
BH,4,2,C1,C,2,B,21,207,
WL2-12,12,1,C1,C,2,C,21,183,
WL1,6,1,C1,C,2,D,21,348,
TM2-3,3,10,C1,C,2,A,22,38,
DPR,1,2,C1,C,2,B,22,219,
WV,4,3,C1,C,2,C,22,262,
WL2 x YO11,,10,C1,C,2,D,22,965,
buffer,buffer,buffer,C1,C,2,A,23,buffer,
buffer,buffer,buffer,C1,C,2,B,23,buffer,
buffer,buffer,buffer,C1,C,2,C,23,buffer,
WV x (WV x WL2),,2,C1,C,2,D,23,1087,
WL2-12,12,7,C2,C,2,A,24,189,
WL2 x WV,,11,C2,C,2,B,24,950,
buffer,buffer,buffer,C2,C,2,C,24,buffer,
TM2 x BH,,1,C2,C,2,D,24,605,
TM2 x YO11,,8,C2,C,2,A,25,762,
DPR x TM2,,18,C2,C,2,B,25,442,
TM2-3,3,2,C2,C,2,C,25,30,
(TM2 x BH) x BH,,8,C2,C,2,D,25,1378,
CC,5,3,C2,C,2,A,26,253,
TM2 x (TM2 x BH),,6,C2,C,2,B,26,1197,
WL1 x TM2,,6,C2,C,2,C,26,777,
WL1 x WL2,,29,C2,C,2,D,26,859,
TM2 x WV,,6,C2,C,2,A,27,744,
WV x TM2,,1,C2,C,2,B,27,2012,
(TM2 x WL2) x TM2,,3,C2,C,2,C,27,1309,
TM2 x DPR,,20,C2,C,2,D,27,668,
TM2 x WL2,,10,C2,C,2,A,28,718,
(WV x WL2) x WV,,8,C2,C,2,B,28,1338,
WV x WL2,,30,C2,C,2,C,28,1045,
WL1 x WL2,,17,C2,C,2,D,28,847,
DPR,3,2,C2,C,3,A,29,225,
(TM2 x BH) x TM2,,15,C2,C,3,B,29,1226,
(WL2 x DPR) x WL2,,4,C2,C,3,C,29,1069,
(TM2 x BH) x TM2,,3,C2,C,3,D,29,1214,
BH x WL2,,10,C2,C,3,A,30,374,
WL2-8,8,3,C2,C,3,B,30,129,
SQ3,6,2,C2,C,3,C,30,339,
SQ3 x TM2,,5,C2,C,3,D,30,549,
WV,5,2,C2,C,3,A,31,268,
DPR x TM2,,6,C2,C,3,B,31,430,
SQ3 x TM2,,18,C2,C,3,C,31,562,
DPR x TM2,,30,C2,C,3,D,31,454,
WL2-1,1,7,C2,C,3,A,32,105,
TM2 x CC,,2,C2,C,3,B,32,620,
WV x (WV x WL2),,20,C2,C,3,C,32,1105,
TM2 x WL2,,22,C2,C,3,D,32,730,
(LV1 x WL2) x WL2,,5,C2,C,3,A,33,1139,
WL2-11,11,9,C2,C,3,B,33,177,
(TM2 x BH) x (TM2 x WL2),,7,C2,C,3,C,33,1238,
SQ3 x TM2,,30,C2,C,3,D,33,574,
LV1 x TM2,,15,C2,C,3,A,34,499,
BH,6,2,C2,C,3,B,34,213,
WL2-9,9,1,C2,C,3,C,34,141,
(TM2 x BH) x BH,,20,C2,C,3,D,34,1390,
TM2-1,1,4,C2,C,3,A,35,4,
DPR,7,2,C2,C,3,B,35,237,
(WL2 x DPR) x DPR,,12,C2,C,3,C,35,1058,
(TM2 x BH) x (TM2 x WL2),,19,C2,C,3,D,35,1250,
WL2 x YO11,,29,C2,C,3,A,36,984,
(TM2 x BH) x BH,,1,C2,C,3,B,36,2048,
WV x WL2,,18,C2,C,3,C,36,1033,
TM2 x (TM2 X WL2),,15,C2,C,3,D,36,1365,
WV x TM2,,24,C2,C,3,A,37,1009,
WV x WL2,,6,C2,C,3,B,37,1021,
